Gurmukhi,English
0xA05,a
0xA06,ā
0xA07,i
0xA08,ī
0xA09,u
0xA0A,ū
0xA0F,e
0xA10,ai
0xA13,o
0xA14,au
0xA15,k
0xA16,kh
0xA17,g
0xA18,gh
0xA19,ṅ
0xA1A,c
0xA1B,ch
0xA1C,j
0xA1D,jh
0xA1E,ñ
0xA1F,ṭ
0xA20,ṭh
0xA21,ḍ
0xA22,ḍh
0xA23,ṇ
0xA24,t
0xA25,th
0xA26,d
0xA27,dh
0xA28,n
0xA2A,p
0xA2B,ph
0xA2C,b
0xA2D,bh
0xA2E,m
0xA2F,y
0xA30,r
0xA32,l
0xA35,v
0xA36,sh
0xA38,s
0xA39,h
0xA3E,ā
0xA3F,i
0xA40,ī
0xA41,u
0xA42,ū
0xA47,e
0xA48,ai
0xA4B,o
0xA4C,au
0xA59,x
0xA5A,gh
0xA5B,z
0xA5C,ṛ
0xA5E,f
0xA32,ḷ
